Date,Oxygen
16/01/2015,0.23840034
15/02/2015,0.24284555
16/03/2015,0.24639688
16/04/2015,0.24513218
16/05/2015,0.24256313
16/06/2015,0.24027649
16/07/2015,0.23876433
16/08/2015,0.23768127
16/09/2015,0.23681897
16/10/2015,0.2358697
16/11/2015,0.23471846
16/12/2015,0.23346862
16/01/2016,0.23342812
15/02/2016,0.23856318
16/03/2016,0.24009044
16/04/2016,0.23930575
16/05/2016,0.23721492
16/06/2016,0.23530893
16/07/2016,0.23366785
16/08/2016,0.23232876
16/09/2016,0.23143707
16/10/2016,0.2306028
16/11/2016,0.23049206
16/12/2016,0.23313187
16/01/2017,0.23958854
15/02/2017,0.24482745
16/03/2017,0.2460331
16/04/2017,0.24462345
16/05/2017,0.2429512
16/06/2017,0.24068516
16/07/2017,0.23874065
16/08/2017,0.23727724
16/09/2017,0.23607185
16/10/2017,0.23509327
16/11/2017,0.23389809
16/12/2017,0.23529613
16/01/2018,0.24165392
15/02/2018,0.24497457
16/03/2018,0.24831429
16/04/2018,0.24755818
16/05/2018,0.24452789
16/06/2018,0.24185605
16/07/2018,0.23968056
16/08/2018,0.23780903
16/09/2018,0.23636486
16/10/2018,0.2351415
16/11/2018,0.23375179
16/12/2018,0.23232092
16/01/2019,0.23352364
15/02/2019,0.23709469
16/03/2019,0.23880035
16/04/2019,0.23886481
16/05/2019,0.23679556
16/06/2019,0.23485927
16/07/2019,0.23344979
16/08/2019,0.2322986
16/09/2019,0.23133509
16/10/2019,0.23036574
16/11/2019,0.22945961
16/12/2019,0.23059762
16/01/2020,0.23443672
15/02/2020,0.23726529
16/03/2020,0.2397931
16/04/2020,0.24028425
16/05/2020,0.2382472
16/06/2020,0.23600791
16/07/2020,0.23431963
16/08/2020,0.23296654
16/09/2020,0.23175484
16/10/2020,0.23081335
16/11/2020,0.22984475
16/12/2020,0.23063539
16/01/2021,0.2362667
15/02/2021,0.24018471
16/03/2021,0.24246974
16/04/2021,0.24328361
16/05/2021,0.24220718
16/06/2021,0.24012834
16/07/2021,0.23829421
16/08/2021,0.23673183
16/09/2021,0.23517017
16/10/2021,0.23350841
16/11/2021,0.23180735
16/12/2021,0.2308069
16/01/2022,0.23234536
15/02/2022,0.23500836
16/03/2022,0.23871598
16/04/2022,0.2410633
16/05/2022,0.23946138
16/06/2022,0.23711029
16/07/2022,0.23519714
16/08/2022,0.23348938
16/09/2022,0.23209481
16/10/2022,0.23058395
16/11/2022,0.22911084
16/12/2022,0.22862557
16/01/2023,0.23410353
15/02/2023,0.24062464
16/03/2023,0.24217792
16/04/2023,0.24031013
16/05/2023,0.2379647
16/06/2023,0.23590992
16/07/2023,0.23431891
16/08/2023,0.23312464
16/09/2023,0.23205128
16/10/2023,0.23123375
16/11/2023,0.23026253
16/12/2023,0.23240292
16/01/2024,0.23698746
15/02/2024,0.24202144
16/03/2024,0.24489412
16/04/2024,0.24522191
16/05/2024,0.24305998
16/06/2024,0.24081096
16/07/2024,0.23915443
16/08/2024,0.23789291
16/09/2024,0.23671445
16/10/2024,0.2355126
16/11/2024,0.2339788
16/12/2024,0.23492528
16/01/2025,0.23895456
15/02/2025,0.24331084
16/03/2025,0.24639748
16/04/2025,0.24630763
16/05/2025,0.24306257
16/06/2025,0.24073315
16/07/2025,0.23910515
16/08/2025,0.23797402
16/09/2025,0.2369444
16/10/2025,0.23594895
16/11/2025,0.23479368
16/12/2025,0.23495953
16/01/2026,0.23752914
15/02/2026,0.24233574
16/03/2026,0.24637443
16/04/2026,0.244306
16/05/2026,0.24176273
16/06/2026,0.23970003
16/07/2026,0.23808402
16/08/2026,0.23689905
16/09/2026,0.23596762
16/10/2026,0.23508842
16/11/2026,0.2342971
16/12/2026,0.23438561
16/01/2027,0.23886433
15/02/2027,0.24593483
16/03/2027,0.24856079
16/04/2027,0.24789315
16/05/2027,0.24461098
16/06/2027,0.24212873
16/07/2027,0.24028064
16/08/2027,0.23875505
16/09/2027,0.23732597
16/10/2027,0.23584014
16/11/2027,0.2344347
16/12/2027,0.23683205
16/01/2028,0.24076311
15/02/2028,0.24454667
16/03/2028,0.24573807
16/04/2028,0.24535458
16/05/2028,0.24351871
16/06/2028,0.24123417
16/07/2028,0.23919421
16/08/2028,0.23762718
16/09/2028,0.23667133
16/10/2028,0.23555267
16/11/2028,0.23428434
16/12/2028,0.23348632
16/01/2029,0.23491283
15/02/2029,0.23658489
16/03/2029,0.23780559
16/04/2029,0.23746206
16/05/2029,0.23616558
16/06/2029,0.23467015
16/07/2029,0.2335783
16/08/2029,0.23282506
16/09/2029,0.23226565
16/10/2029,0.2318016
16/11/2029,0.23195976
16/12/2029,0.23221195
16/01/2030,0.2342923
15/02/2030,0.23873028
