Date,pH
16/01/2015,8.072352
15/02/2015,8.075756
16/03/2015,8.077268
16/04/2015,8.075209
16/05/2015,8.071867
16/06/2015,8.068965
16/07/2015,8.067002
16/08/2015,8.065774
16/09/2015,8.06498
16/10/2015,8.064125
16/11/2015,8.06321
16/12/2015,8.062845
16/01/2016,8.064292
15/02/2016,8.070375
16/03/2016,8.071163
16/04/2016,8.070066
16/05/2016,8.067499
16/06/2016,8.065189
16/07/2016,8.063177
16/08/2016,8.061753
16/09/2016,8.061054
16/10/2016,8.060552
16/11/2016,8.061215
16/12/2016,8.064672
16/01/2017,8.069469
15/02/2017,8.070407
16/03/2017,8.070166
16/04/2017,8.068792
16/05/2017,8.067181
16/06/2017,8.064669
16/07/2017,8.062387
16/08/2017,8.060782
16/09/2017,8.059713
16/10/2017,8.058963
16/11/2017,8.058232
16/12/2017,8.061348
16/01/2018,8.065951
15/02/2018,8.067088
16/03/2018,8.06901
16/04/2018,8.0674715
16/05/2018,8.063831
16/06/2018,8.061059
16/07/2018,8.059073
16/08/2018,8.057756
16/09/2018,8.056943
16/10/2018,8.056327
16/11/2018,8.055706
16/12/2018,8.055177
16/01/2019,8.0575485
15/02/2019,8.061246
16/03/2019,8.061995
16/04/2019,8.061728
16/05/2019,8.059054
16/06/2019,8.056515
16/07/2019,8.054743
16/08/2019,8.053393
16/09/2019,8.052399
16/10/2019,8.051523
16/11/2019,8.050802
16/12/2019,8.052838
16/01/2020,8.056248
15/02/2020,8.057756
16/03/2020,8.058407
16/04/2020,8.058907
16/05/2020,8.056764
16/06/2020,8.054279
16/07/2020,8.052461
16/08/2020,8.05117
16/09/2020,8.050152
16/10/2020,8.049553
16/11/2020,8.04904
16/12/2020,8.050799
16/01/2021,8.055911
15/02/2021,8.058117
16/03/2021,8.059363
16/04/2021,8.058981
16/05/2021,8.056889
16/06/2021,8.053859
16/07/2021,8.051604
16/08/2021,8.050093
16/09/2021,8.048979
16/10/2021,8.048154
16/11/2021,8.047555
16/12/2021,8.047918
